content,score
"I really love this game, having played on-and-off since release. The story is great (a bit slow at points), the character designs are phenomenal and the soundtrack is beautiful, too. However, there are aspects I am still waiting to change. The co-op mode feels rudimentary and unsatisfying. No event weapons/pets come back once they pass. A cutscene skip feature and better artifact grinding would help so much with the gameplay experience.",4
"This game is MASSIVE and is ever growing. The lore and gameplay are incredible, super captivating! This is a game that you could spend a lot of money on, but you by no means have to. I've been playing for almost a year now and am still not caught up (granted, I have a full time job and a part time, so I can't no-life this game nearly as much as I want). Between story quests, archon quests, world quests, character quest lines, and so much more, you'll never run out of things to do. 10000/10",5
"I really like this game. It has an immercive story, good graphics, and challenging but not overwhelming gameplay. It is a bit different in that it is just your character in your world while others can only visit you and vice versa. However, that is easy to work with. Then I got to the fishing quest, and it's difficult to do despite it being such an easy task. To make this worse, you can't enter your house or enter co op mode until it's done. The quest is unimportant to the story.",4
"Like any gacha, this game has its issues. But I have been playing this game consistently with few breaks since day 1. It has the best original soundtrack of any video game ever in my opinion, and was a groundbreaking achievement on mobile when it was released. Despite the haters (and the valid issues and concerns!), this game deserves 5 stars for its technical achievement, cultural influence, and artistic/musical beauty if nothing else.",5
"I LOVE this game, it has lots of stuff even sometimes I feel suffocated by it, but the domains of enemies especially when it's timed is tiring. Even when my character's levels are way higher than the enemies, I somehow can't seem to kill most of the enemies in the time limit... it's an amazing game but sometimes it forces me into a quest like: Palace of the Vision Serpent, I can't leave it and go back to Co-Op, it's super annoying and I can't even play with friends, only talk..",3
"I love this game so much but I will admit it takes up alot of space and has trouble with lagging and loading but that's only if you play it on your phone so I recommend playing on a gaming console. The art style and animation is beautiful and looks like it took alot of time and effort to make. The stories and quests are really fun. And I find it fun to try and work hard to get characters , it's very rewarding. Also make sure you get a lyre to play because it sounds so pretty.",5
"Honestly, I like this game I really do, but there are so many little things that frustrate me, and sadly they add up. you can invest and spend in a character to higher constellations but it doesn't mean they'll be strong in the future. I'm a light spender and have no problem buying every now and then, but you'll be surprised how fast your pulls disappeared when you lose so many 50/50. As for Miliastra wonderland, it has great potential, but I'm not liking the monetization.",3
"It's been a great experience! The only problems Ive had is receiving the short straw on the pity system (though thats really just my luck). The only other thing I could complain about is when I joined it said I'd get 80 free pulls and I never did, bit ig that's fine not that big of a deal update:it is still pretty good, I enjoy the base game and the story (i will be the #1 Durin main). but the new wonderland function sucks. the fact that the outfit and customization gacha is pay to play SUCKS",3
"I like the game a lot—daily player for almost 3 years, modest spender—but I can no longer install the game on my phone since the 6.1 patch. I've never had this problem before, but the game now crashes every time the ""compiling shaders"" process completes. Hoyo technical support has not been helpful at all. Looks like I'll be moving to very occasional (when I can get my hands on a laptop) and free to play status.",1
"I just tried to get into a space that was quest locked for 1 hour. However, the game did not give ANY indication that it was quest locked, which led to quite the frustration as I searched and searched for a way to get in. Eventually, after watching a one hour YouTube video, I found out that I need to do a quest for it. I don't care if you're gonna make things locked behind quests, but the least you could do is tell the player ""Hey this is quest locked, do the quest and come back."" Its's not hard",1
